 Эйлер, Леонард: 263.57
 Колмогоров, Андрей Николаевич: 211.51
 Громов, Михаил Леонидович: 172.25
 Арнольд, Владимир Игоревич: 140.19
 Боголюбов, Николай Николаевич: 140.0
 Новиков, Сергей Петрович: 135.81
 Алфёров, Жорес Иванович: 129.25
 Канторович, Леонид: 120.12
 Ландау, Лев Давидович: 111.89
 Перельман, Григорий Яковлевич: 110.54
 Зарицкий, Мирон Онуфриевич: 109.83
 Гельфанд, Израиль Моисеевич: 109.46
 Ляпунов, Александр Михайлович: 104.9
 Бернулли, Николай: 102.54
 Фридман, Александр Александрович: 96.77
 Фаддеев, Людвиг Дмитриевич: 95.79
 Чебышёв, Пафнутий Львович: 95.38
 Коротаев, Андрей Витальевич: 94.48
 Бернштейн, Сергей Натанович: 93.89
 Островский, Александр Маркович: 93.88
 Циолковский, Константин Эдуардович: 92.86
 Куратовский, Казимир: 92.4
 Шафаревич, Игорь Ростиславович: 91.49
 Тихонов, Андрей Николаевич: 90.47
 Понтрягин, Лев Семёнович: 90.28
 Манин, Юрий Иванович: 89.45
 Александров, Александр Данилович: 89.45
 Хинчин, Александр Яковлевич: 88.13
 Безикович, Абрам Самойлович: 87.64
 Александров, Павел Сергеевич: 86.61
 Лобачевский, Николай Иванович: 83.55
 Виноградов, Иван Матвеевич: 81.03
 Синай, Яков Григорьевич: 80.87
 Андерсон, Оскар Николаевич: 80.39
 Фоменко, Анатолий Тимофеевич: 80.21
 Лузин, Николай Николаевич: 79.18
 Березовский, Борис Абрамович: 76.71
 Ломоносов, Михаил Васильевич: 76.6
 Ладыженская, Ольга Александровна: 76.13
 Ковалевская, Софья Васильевна: 75.27
 Марчук, Гурий Иванович: 75.23
 Шмидт, Отто Юльевич: 74.07
 Соболев, Сергей Львович: 73.65
 Стеклов, Владимир Андреевич: 72.07
 Келдыш, Мстислав Всеволодович: 71.63
 Садовничий, Виктор Антонович: 71.43
 Никольский, Сергей Михайлович: 70.91
 Элиашберг, Яков Матвеевич: 70.06
 Чаплыгин, Сергей Алексеевич: 69.34
 Моисеев, Никита Николаевич: 68.23
 Олейник, Ольга: 68.09
