Колмогоров, Андрей Николаевич: 9.349
Эйлер, Леонард: 9.157
Громов, Михаил Леонидович: 7.224
Новиков, Сергей Петрович: 7.1
Гельфанд, Израиль Моисеевич: 6.921
Арнольд, Владимир Игоревич: 6.817
Боголюбов, Николай Николаевич: 6.692
Фаддеев, Людвиг Дмитриевич: 6.201
Алфёров, Жорес Иванович: 6.094
Манин, Юрий Иванович: 5.531
Канторович, Леонид: 5.517
Александров, Александр Данилович: 5.41
Садовничий, Виктор Антонович: 4.832
Марчук, Гурий Иванович: 4.746
Синай, Яков Григорьевич: 4.696
Чебышёв, Пафнутий Львович: 4.678
Самарский, Александр Андреевич: 4.532
Понтрягин, Лев Семёнович: 4.45
Фридман, Александр Александрович: 4.391
Воеводин, Валентин Васильевич: 4.316
Шафаревич, Игорь Ростиславович: 4.281
Олейник, Ольга: 4.277
Ландау, Лев Давидович: 4.273
Никольский, Сергей Михайлович: 4.243
Александров, Павел Сергеевич: 4.232
Моисеев, Никита Николаевич: 4.19
Глушков, Виктор Михайлович: 4.18
Тихонов, Андрей Николаевич: 4.112
Осипов, Юрий Сергеевич: 4.053
Перельман, Григорий Яковлевич: 4.03
Охоцимский, Дмитрий Евгеньевич: 4.013
Козлов, Валерий Васильевич: 3.995
Марченко, Владимир Александрович: 3.907
Бернштейн, Сергей Натанович: 3.878
Ляпунов, Александр Михайлович: 3.859
Степанов, Родион Александрович: 3.84
Безикович, Абрам Самойлович: 3.792
Соболев, Сергей Львович: 3.784
Фоменко, Анатолий Тимофеевич: 3.751
Кравчук, Михаил Филиппович: 3.679
Келдыш, Мстислав Всеволодович: 3.599
Владимиров, Василий Сергеевич: 3.581
Андерсон, Оскар Николаевич: 3.573
Виноградов, Иван Матвеевич: 3.569
Маслов, Виктор Павлович: 3.563
Шмидт, Отто Юльевич: 3.537
Хинчин, Александр Яковлевич: 3.521
Русаков, Сергей Владимирович: 3.489
Петровский, Иван Георгиевич: 3.485
Седов, Леонид Иванович: 3.459
Стеклов, Владимир Андреевич: 3.457
Вершик, Анатолий Моисеевич: 3.441
Элиашберг, Яков Матвеевич: 3.427
Ширшов, Анатолий Илларионович: 3.398
Ладыженская, Ольга Александровна: 3.364
Ляпунов, Алексей Андреевич: 3.35
Годунов, Сергей Константинович: 3.33
Лобачевский, Николай Иванович: 3.246
Делоне, Борис Николаевич: 3.221
Лаврентьев, Михаил Алексеевич: 3.201
Ломоносов, Михаил Васильевич: 3.192
Котельников, Владимир Александрович: 3.19
Крейн, Марк Григорьевич: 3.161
Ильин, Владимир Александрович: 3.135
Маргулис, Григорий: 3.114
Матиясевич, Юрий Владимирович: 3.111
Болтянский, Владимир Григорьевич: 3.09
Белоцерковский, Олег Михайлович: 3.056
Овсянников, Лев Васильевич: 3.027
Ковалевская, Софья Васильевна: 3.02
Винберг, Эрнест Борисович: 3.006
Ерёмин, Иван Иванович: 2.979
Горбань, Александр Николаевич: 2.976
Платонов, Владимир Петрович: 2.916
Капица, Сергей Петрович: 2.914
Хоружий, Сергей Сергеевич: 2.911
Векуа, Илья: 2.91
Холево, Александр Семёнович: 2.906
Коротаев, Андрей Витальевич: 2.903
Кожевников, Павел Александрович: 2.889
Смирнов, Станислав Константинович: 2.882
Жидков, Николай Петрович: 2.878
Дородницын, Анатолий: 2.861
Куратовский, Казимир: 2.818
Концевич, Максим: 2.813
Кикоин, Исаак Константинович: 2.804
Мальцев, Анатолий Иванович: 2.794
Каган, Вениамин Фёдорович: 2.788
Пятецкий-Шапиро, Илья Иосифович: 2.77
Моисеев, Евгений: 2.756
Мусхелишвили, Николай: 2.733
Ляшко, Иван Иванович: 2.709
Ольшанский, Александр Юрьевич: 2.693
Линник, Юрий Владимирович: 2.685
Цингер, Василий Яковлевич: 2.665
Мордухай-Болтовской, Дмитрий Дмитриевич: 2.665
Лидский, Виктор Борисович: 2.655
Митропольский, Юрий Алексеевич: 2.653
Бухштабер, Виктор Матвеевич: 2.647
Аносов, Дмитрий Викторович: 2.636
Бахвалов, Николай Сергеевич: 2.621
Рудаков, Константин Владимирович: 2.618
Лузин, Николай Николаевич: 2.614
Ершов, Юрий Леонидович: 2.607
Энеев, Тимур Магометович: 2.603
Васильев, Виктор Анатольевич: 2.591
Тарунин, Евгений Леонидович: 2.589
Люстерник, Лазарь Аронович: 2.581
Кац, Виктор: 2.564
Кочина, Пелагея Яковлевна: 2.56
Захаров, Владимир Евгеньевич: 2.52
Башмаков, Марк Иванович: 2.508
Альфорс, Ларс: 2.499
Пенский, Олег Геннадьевич: 2.48
Рвачёв, Владимир Логвинович: 2.467
Вапник, Владимир Наумович: 2.464
Бернулли, Николай: 2.457
Хованский, Аскольд Георгиевич: 2.447
Островский, Александр Маркович: 2.446
Погорелов, Алексей Васильевич: 2.439
Райков, Дмитрий Абрамович: 2.427
Прохоров, Юрий Васильевич: 2.421
Дынкин, Евгений: 2.42
Александрян, Рафаэль Арамович: 2.419
Деларю, Даниил Михайлович: 2.41
Ермаков, Сергей Михайлович: 2.409
Бененсон, Залман Михайлович: 2.408
Окуньков, Андрей Юрьевич: 2.394
Постников, Михаил Михайлович: 2.393
