 Колмогоров, Андрей Николаевич: 9.789
 Эйлер, Леонард: 9.486
 Новиков, Сергей Петрович: 7.34
 Громов, Михаил Леонидович: 7.314
 Гельфанд, Израиль Моисеевич: 7.181
 Арнольд, Владимир Игоревич: 6.987
 Боголюбов, Николай Николаевич: 6.781
 Фаддеев, Людвиг Дмитриевич: 6.481
 Алфёров, Жорес Иванович: 6.224
 Александров, Александр Данилович: 5.85
 Манин, Юрий Иванович: 5.711
 Канторович, Леонид: 5.697
 Садовничий, Виктор Антонович: 5.022
 Чебышёв, Пафнутий Львович: 4.968
 Марчук, Гурий Иванович: 4.916
 Синай, Яков Григорьевич: 4.786
 Самарский, Александр Андреевич: 4.782
 Фридман, Александр Александрович: 4.631
 Понтрягин, Лев Семёнович: 4.6
 Никольский, Сергей Михайлович: 4.543
 Олейник, Ольга: 4.517
 Воеводин, Валентин Васильевич: 4.516
 Шафаревич, Игорь Ростиславович: 4.431
 Александров, Павел Сергеевич: 4.412
 Ландау, Лев Давидович: 4.403
 Охоцимский, Дмитрий Евгеньевич: 4.403
 Марченко, Владимир Александрович: 4.337
 Осипов, Юрий Сергеевич: 4.323
 Моисеев, Никита Николаевич: 4.309
 Глушков, Виктор Михайлович: 4.3
 Перельман, Григорий Яковлевич: 4.18
 Тихонов, Андрей Николаевич: 4.172
 Козлов, Валерий Васильевич: 4.165
 Степанов, Родион Александрович: 4.16
 Кравчук, Михаил Филиппович: 4.039
 Бернштейн, Сергей Натанович: 4.028
 Соболев, Сергей Львович: 3.964
 Фоменко, Анатолий Тимофеевич: 3.961
 Ляпунов, Александр Михайлович: 3.95
 Безикович, Абрам Самойлович: 3.942
 Шмидт, Отто Юльевич: 3.837
 Маслов, Виктор Павлович: 3.833
 Русаков, Сергей Владимирович: 3.729
 Петровский, Иван Георгиевич: 3.715
 Келдыш, Мстислав Всеволодович: 3.709
 Владимиров, Василий Сергеевич: 3.701
 Ширшов, Анатолий Илларионович: 3.678
 Андерсон, Оскар Николаевич: 3.664
 Вершик, Анатолий Моисеевич: 3.651
 Седов, Леонид Иванович: 3.649
 Хинчин, Александр Яковлевич: 3.641
 Стеклов, Владимир Андреевич: 3.607
 Виноградов, Иван Матвеевич: 3.599
 Элиашберг, Яков Матвеевич: 3.567
 Ляпунов, Алексей Андреевич: 3.55
 Годунов, Сергей Константинович: 3.48
 Ладыженская, Ольга Александровна: 3.454
 Ломоносов, Михаил Васильевич: 3.402
 Делоне, Борис Николаевич: 3.401
 Лобачевский, Николай Иванович: 3.396
 Крейн, Марк Григорьевич: 3.342
 Ильин, Владимир Александрович: 3.335
 Лаврентьев, Михаил Алексеевич: 3.321
 Матиясевич, Юрий Владимирович: 3.311
 Болтянский, Владимир Григорьевич: 3.29
 Белоцерковский, Олег Михайлович: 3.266
 Горбань, Александр Николаевич: 3.266
 Овсянников, Лев Васильевич: 3.207
 Маргулис, Григорий: 3.204
 Котельников, Владимир Александрович: 3.19
 Винберг, Эрнест Борисович: 3.176
 Ковалевская, Софья Васильевна: 3.17
 Ерёмин, Иван Иванович: 3.169
 Кожевников, Павел Александрович: 3.129
 Хоружий, Сергей Сергеевич: 3.091
 Платонов, Владимир Петрович: 3.066
 Моисеев, Евгений: 3.026
 Векуа, Илья: 3.0
 Холево, Александр Семёнович: 2.996
 Капица, Сергей Петрович: 2.994
 Коротаев, Андрей Витальевич: 2.993
 Жидков, Николай Петрович: 2.988
 Дородницын, Анатолий: 2.951
 Мальцев, Анатолий Иванович: 2.944
 Смирнов, Станислав Константинович: 2.942
 Каган, Вениамин Фёдорович: 2.938
 Ляшко, Иван Иванович: 2.919
 Мордухай-Болтовской, Дмитрий Дмитриевич: 2.905
 Пятецкий-Шапиро, Илья Иосифович: 2.89
 Бухштабер, Виктор Матвеевич: 2.877
 Цингер, Василий Яковлевич: 2.875
 Ольшанский, Александр Юрьевич: 2.873
 Куратовский, Казимир: 2.848
 Ершов, Юрий Леонидович: 2.847
 Концевич, Максим: 2.843
 Лидский, Виктор Борисович: 2.835
 Мусхелишвили, Николай: 2.823
 Рудаков, Константин Владимирович: 2.818
 Линник, Юрий Владимирович: 2.805
 Кикоин, Исаак Константинович: 2.804
 Энеев, Тимур Магометович: 2.793
 Бахвалов, Николай Сергеевич: 2.791
 Кочина, Пелагея Яковлевна: 2.78
 Васильев, Виктор Анатольевич: 2.771
 Аносов, Дмитрий Викторович: 2.756
 Тарунин, Евгений Леонидович: 2.739
 Люстерник, Лазарь Аронович: 2.731
 Митропольский, Юрий Алексеевич: 2.713
 Башмаков, Марк Иванович: 2.708
 Лузин, Николай Николаевич: 2.704
 Кац, Виктор: 2.704
 Пенский, Олег Геннадьевич: 2.68
 Райков, Дмитрий Абрамович: 2.677
 Захаров, Владимир Евгеньевич: 2.65
 Рвачёв, Владимир Логвинович: 2.647
 Прохоров, Юрий Васильевич: 2.631
 Хованский, Аскольд Георгиевич: 2.627
 Деларю, Даниил Михайлович: 2.62
 Ермаков, Сергей Михайлович: 2.589
 Бернулли, Николай: 2.577
 Александрян, Рафаэль Арамович: 2.568
 Альфорс, Ларс: 2.559
 Окуньков, Андрей Юрьевич: 2.544
 Постников, Михаил Михайлович: 2.543
 Островский, Александр Маркович: 2.536
 Бененсон, Залман Михайлович: 2.528
 Бурков, Владимир Николаевич: 2.526
 Воеводский, Владимир Александрович: 2.502
 Погорелов, Алексей Васильевич: 2.499
 Вапник, Владимир Наумович: 2.494
 Мергелян, Сергей Никитович: 2.494
 Болотов, Виктор Александрович: 2.489
 Зубов, Василий Павлович: 2.486
 Паршин, Алексей Николаевич: 2.484
 Дынкин, Евгений: 2.48
 Пугачёв, Владимир Семёнович: 2.479
 Зельманов, Ефим: 2.444
 Ширяев, Альберт Николаевич: 2.442
 Ландо, Сергей Константинович: 2.439
 Мищенко, Евгений Фролович: 2.427
 Смирнов, Владимир Иванович: 2.424
 Буняковский, Виктор Яковлевич: 2.419
 Иванов, Валентин Константинович: 2.412
 Лахтин, Леонид Кузьмич: 2.408
 Чаплыгин, Сергей Алексеевич: 2.404
 Красовский, Николай Николаевич: 2.402
 Михайлов, Валентин Петрович: 2.389
 Яновская, Софья Александровна: 2.363
 Ремесленников, Владимир Никанорович: 2.338
 Забабахин, Евгений Иванович: 2.326
 Бернштейн, Иосиф Наумович: 2.324
 Фейгин, Борис Львович: 2.318
 Рашевский, Пётр Константинович: 2.308
 Турчин, Валентин Фёдорович: 2.307
 Амбарцумян, Рубен Викторович: 2.305
 Остроградский, Михаил Васильевич: 2.301
 Протасов, Владимир Юрьевич: 2.299
 Гутенмахер, Лев Израилевич: 2.295
 Мищенко, Александр Сергеевич: 2.29
 Ахиезер, Наум: 2.287
 Гохберг, Израиль Цудикович: 2.286
 Адян, Сергей Иванович: 2.285
 Лупанов, Олег Борисович: 2.285
 Карацуба, Анатолий Алексеевич: 2.282
 Жегалкин, Иван Иванович: 2.28
 Бердышев, Виталий Иванович: 2.27
 Васильев, Фёдор Павлович: 2.269
 Новиков, Пётр Сергеевич: 2.252
 Стечкин, Сергей Борисович: 2.252
 Фаддеев, Дмитрий Константинович: 2.251
 Виноградов, Дмитрий Вячеславович: 2.25
 Богомолов, Фёдор: 2.243
 Тыртышников, Евгений Евгеньевич: 2.238
 Воеводин, Владимир Валентинович: 2.237
 Циолковский, Константин Эдуардович: 2.229
 Солодовников, Владимир Викторович: 2.228
 Гнеденко, Борис Владимирович: 2.222
 Вощинин, Александр Павлович: 2.219
 Лавров, Святослав Сергеевич: 2.219
 Максудов, Фарамаз Газанфар оглы: 2.219
 Носовский, Глеб Владимирович: 2.215
 Кострикин, Алексей Иванович: 2.213
 Тужилин, Алексей Августинович: 2.21
 Галеркин, Борис Григорьевич: 2.204
 Чеботарёв, Николай Григорьевич: 2.203
 Журавлёв, Юрий Иванович: 2.198
 Разборов, Александр Александрович: 2.196
 Курош, Александр Геннадиевич: 2.186
 Тихомиров, Владимир Михайлович: 2.186
 Краснощёков, Павел Сергеевич: 2.179
 Дринфельд, Владимир: 2.176
 Свешников, Алексей Георгиевич: 2.158
 Чередник, Иван: 2.156
 Лебедев, Вячеслав Иванович: 2.154
 Макаров, Валерий Леонидович: 2.147
 Кондратьев, Владимир Александрович: 2.137
 Некрасов, Павел Алексеевич: 2.136
 Маланин, Владимир Владимирович: 2.128
 Граве, Дмитрий Александрович: 2.124
 Вороной, Георгий Феодосьевич: 2.12
 Эрдниев, Пюрвя Мучкаевич: 2.118
 Левин, Леонид Анатольевич: 2.113
 Тузиков, Александр Васильевич: 2.109
 Баренблатт, Григорий Исаакович: 2.108
 Мазуров, Владимир Данилович: 2.1
 Шор, Наум Зуселевич: 2.097
 Привалов, Иван Иванович: 2.093
 Бицадзе, Андрей Васильевич: 2.093
 Гамкрелидзе, Реваз Валерианович: 2.091
 Штокало, Иосиф Захарович: 2.088
 Ершов, Андрей Петрович: 2.086
 Гливенко, Валерий Иванович: 2.081
 Емельянов, Станислав Васильевич: 2.078
 Семёнов, Алексей Львович: 2.078
 Егоров, Дмитрий Фёдорович: 2.077
 Смирнов, Николай Васильевич: 2.077
 Акаев, Аскар Акаевич: 2.076
 Королёв, Лев Николаевич: 2.074
 Минлос, Роберт Адольфович: 2.062
 Мельник, Семён Ильич: 2.06
 Андреев, Николай Николаевич: 2.059
 Танаев, Вячеслав Сергеевич: 2.059
 Третьяков, Владимир Евгеньевич: 2.055
 Соколов, Юрий Дмитриевич: 2.055
 Березин, Феликс Александрович: 2.046
 Аракелян, Норайр Унанович: 2.046
 Левенштейн, Владимир Иосифович: 2.041
 Гребеников, Евгений Александрович: 2.038
 Белецкий, Владимир Васильевич: 2.027
 Ашраф: 2.026
