academy,academyLabel
http://www.wikidata.org/entity/Q49738,Академия наук ГДР
http://www.wikidata.org/entity/Q451079,Саксонская академия наук
http://www.wikidata.org/entity/Q46703,Европейская академия наук и искусств
http://www.wikidata.org/entity/Q43565,Российская инженерная академия
http://www.wikidata.org/entity/Q15646111,Академия искусств ГДР
http://www.wikidata.org/entity/Q1692699,Королевское статистическое общество
http://www.wikidata.org/entity/Q1786992,Варшавское научное общество
http://www.wikidata.org/entity/Q139020,Международный статистический институт
http://www.wikidata.org/entity/Q1810244,Лондонское математическое общество
http://www.wikidata.org/entity/Q337234,Европейская академия
http://www.wikidata.org/entity/Q83172,Российская академия наук
http://www.wikidata.org/entity/Q1949336,Московское математическое общество
http://www.wikidata.org/entity/Q2107174,Познанское общество друзей наук
http://www.wikidata.org/entity/Q2991053,Научное общество имени Тараса Шевченко
http://www.wikidata.org/entity/Q6101699,Испанская королевская инженерная академия
http://www.wikidata.org/entity/Q6400713,Харьковское математическое общество
http://www.wikidata.org/entity/Q6020928,Индийское математическое общество
http://www.wikidata.org/entity/Q5401601,Эстонское общество естествоиспытателей
http://www.wikidata.org/entity/Q6706991,Польское научное общество во Львове
http://www.wikidata.org/entity/Q123885,Лондонское королевское общество
http://www.wikidata.org/entity/Q465654,Американское математическое общество
http://www.wikidata.org/entity/Q117467,Эдинбургское королевское общество
http://www.wikidata.org/entity/Q467040,Американская статистическая ассоциация
http://www.wikidata.org/entity/Q13028698,Belarusian Scientific Society
http://www.wikidata.org/entity/Q1282089,Эконометрическое общество
http://www.wikidata.org/entity/Q414110,Берлинская академия художеств
http://www.wikidata.org/entity/Q30972277,Киевское математическое сообщество
http://www.wikidata.org/entity/Q812155,Баварская академия изящных искусств
http://www.wikidata.org/entity/Q2629714,Академия интерлингвы
http://www.wikidata.org/entity/Q86679517,Казанское физико-математическое общество
http://www.wikidata.org/entity/Q463303,Американская академия искусств и наук
http://www.wikidata.org/entity/Q129207,Национальная академия наук Азербайджана
http://www.wikidata.org/entity/Q188771,Французская академия наук
http://www.wikidata.org/entity/Q191583,Шведская королевская академия наук
http://www.wikidata.org/entity/Q209184,Израильская академия естественных и гуманитарных наук
http://www.wikidata.org/entity/Q253439,Нидерландская королевская академия наук
http://www.wikidata.org/entity/Q265058,Венгерская академия наук
http://www.wikidata.org/entity/Q466089,Американское философское общество
http://www.wikidata.org/entity/Q270794,Национальная академия наук США
http://www.wikidata.org/entity/Q543804,Леопольдина
http://www.wikidata.org/entity/Q299015,Австрийская академия наук
http://www.wikidata.org/entity/Q329464,Прусская академия наук
http://www.wikidata.org/entity/Q607496,Варшавское общество друзей наук
http://www.wikidata.org/entity/Q651690,Польская академия наук
http://www.wikidata.org/entity/Q338432,Национальная академия деи Линчеи
http://www.wikidata.org/entity/Q740370,Академия знаний
http://www.wikidata.org/entity/Q414188,Академия наук в Гёттингене
http://www.wikidata.org/entity/Q753299,Британское королевское астрономическое общество
http://www.wikidata.org/entity/Q530471,Китайская академия наук
http://www.wikidata.org/entity/Q538954,Национальная академия наук Грузии
http://www.wikidata.org/entity/Q1665167,Institute of Mathematical Statistics
http://www.wikidata.org/entity/Q2222371,Санкт-Петербургское математическое общество
http://www.wikidata.org/entity/Q684415,Баварская академия наук
http://www.wikidata.org/entity/Q4397936,Российская академия естественных наук
http://www.wikidata.org/entity/Q833738,Гейдельбергская академия наук
http://www.wikidata.org/entity/Q901677,Румынская академия
http://www.wikidata.org/entity/Q938622,Папская академия наук
http://www.wikidata.org/entity/Q958769,Национальная академия наук Украины
http://www.wikidata.org/entity/Q1003730,Болгарская академия наук
http://www.wikidata.org/entity/Q1132636,Сербская академия наук и искусств
http://www.wikidata.org/entity/Q1338761,Академия наук Молдавии
http://www.wikidata.org/entity/Q1423356,Норвежская академия наук
http://www.wikidata.org/entity/Q1493021,Национальная инженерная академия США
http://www.wikidata.org/entity/Q1534138,Национальная академия наук Казахстана
http://www.wikidata.org/entity/Q1615464,Академия наук Латвии
http://www.wikidata.org/entity/Q1636237,Датская королевская академия наук
http://www.wikidata.org/entity/Q1683229,Японская академия наук
http://www.wikidata.org/entity/Q1713320,Die Junge Akademie
http://www.wikidata.org/entity/Q1865003,Академия наук Литвы
http://www.wikidata.org/entity/Q2370801,Академия наук СССР
http://www.wikidata.org/entity/Q2379496,Национальная академия наук Республики Армения
http://www.wikidata.org/entity/Q2822280,Royal Academy of Italy
http://www.wikidata.org/entity/Q2822396,Туринская академия наук
http://www.wikidata.org/entity/Q3603946,Национальная академия наук Италии
http://www.wikidata.org/entity/Q4059243,Академия наук высшей школы Украины
http://www.wikidata.org/entity/Q4288145,Международная академия информатизации
http://www.wikidata.org/entity/Q4345832,Санкт-Петербургская академия наук
http://www.wikidata.org/entity/Q4397941,Российская академия образования
http://www.wikidata.org/entity/Q4671532,Болонская академия наук
