Q115664,Николай Иванович Фусс
Q133267,Лев Давидович Ландау
Q4235955,Семён Кириллович Котельников
Q4400039,Степан Яковлевич Румовский
Q4430085,"Софронов, Михаил (математик)"
Q370151,Виктор Яковлевич Буняковский
Q447071,Андрей Иванович Лексель
Q556346,Иоганн Альбрехт Эйлер
Q4141818,Михаил Евсеевич Головин
Q4160939,"Дзядык, Владислав Кириллович"
Q4233302,"Корнейчук, Николай Павлович"
Q45113,Моисей Шейнфинкель
Q3710055,"Яблонский, Сергей Всеволодович"
Q4226722,"Козлов, Владимир Яковлевич"
Q4475074,"Ульянов, Пётр Лаврентьевич"
Q4097815,"Бугров, Яков Степанович"
Q15135432,"Лизоркин, Пётр Иванович"
Q43323,"Бесов, Олег Владимирович"
Q470539,Сергей Натанович Бернштейн
Q4137362,"Гернет, Надежда Николаевна"
Q355892,Михаил Васильевич Остроградский
Q184535,Софья Васильевна Ковалевская
Q943007,Тадеуш Банахевич
Q1232476,"Селиванов, Дмитрий Фёдорович"
Q2604125,Николай Васильевич Бугаев
Q12159011,Антон Казимирович Сушкевич
Q6097897,Иван Владиславович Слешинский
Q3051298,Елизавета Литвинова
Q4100109,"Буссе, Фёдор Иванович"
Q592518,"Букреев, Борис Яковлевич"
Q70818,"Бартельс, Мартин Фёдорович"
Q380243,"Сеченов, Иван Михайлович"
Q369561,Владимир Дринфельд
Q369792,"Бейлинсон, Александр Александрович"
Q726706,"Колывагин, Виктор Александрович"
Q862198,"Шокуров, Вячеслав Владимирович"
Q64975,Александр Маркович Островский
Q1930229,"Цфасман, Михаил Анатольевич"
Q2601950,Юрий Геннадьевич Зархин
Q4137485,"Геронимус, Александр Юрьевич"
Q4203866,"Исковских, Василий Алексеевич"
Q4422281,"Скоробогатов, Алексей Николаевич"
Q102416625,Анас Насибуллин
Q3311473,Эдгар Кран
Q129199,Николай Иванович Лобачевский
Q4350109,Дмитрий Матвеевич Перевощиков
Q4197843,"Иде, Иван Андреевич"
Q68527,"Нётер, Фриц"
Q73461,Фёдор Эдуардович Молин
