Q93031,Виктор Михайлович Глушков
Q153224,Андрей Николаевич Колмогоров
Q157642,Владимир Игоревич Арнольд
Q161846,Казимир Куратовский
Q183279,Жорес Иванович Алфёров
Q246497,Мстислав Всеволодович Келдыш
Q302434,"Самарский, Александр Андреевич"
Q323337,Сергей Львович Соболев
Q325696,Павел Сергеевич Александров
Q372026,Андрей Николаевич Тихонов
Q451330,Иван Матвеевич Виноградов
Q454925,Николай Николаевич Боголюбов
Q574605,Гурий Иванович Марчук
Q689486,Владимир Александрович Котельников
Q695002,"Мусхелишвили, Николай"
Q707137,Михаил Алексеевич Лаврентьев
Q1396841,Илья Векуа
Q457680,Ольга Олейник
Q926756,"Владимиров, Василий Сергеевич"
Q72979,"Андерсон, Оскар Николаевич"
Q107441,Леонид Канторович
Q943007,Тадеуш Банахевич
Q4146359,"Госиевский, Владислав"
Q4237116,Николай Сергеевич Кошляков
Q93593591,Q93593591
Q726403,Дмитрий Фёдорович Егоров
Q2599504,Софья Александровна Яновская
Q4316594,Павел Алексеевич Некрасов
Q20430,Сергей Петрович Капица
Q65196,Юрий Иванович Манин
Q93019,"Разборов, Александр Александрович"
Q333948,Станислав Константинович Смирнов
Q333975,Сергей Петрович Новиков
Q353451,Михаил Леонидович Громов
Q369588,Максим Концевич
Q369792,"Бейлинсон, Александр Александрович"
Q381357,Роланд Львович Добрушин
Q381592,Владимир Евгеньевич Захаров
Q451652,"Вершик, Анатолий Моисеевич"
Q707119,Юрий Владимирович Матиясевич
Q950897,"Синай, Яков Григорьевич"
Q951222,Альберт Николаевич Ширяев
Q1030228,Людвиг Дмитриевич Фаддеев
Q7604,Леонард Эйлер
Q2585814,Григорий Исаакович Баренблатт
Q2622956,Виктор Антонович Садовничий
Q2643985,"Паршин, Алексей Николаевич"
Q4171622,Валентин Дымников
Q4752219,"Самойленко, Анатолий Михайлович"
Q3388872,"Плющ, Леонид Иванович"
Q12105919,"Зарицкий, Мирон Онуфриевич"
Q133267,Лев Давидович Ландау
Q16351713,"Фрейвалдс, Русиньш Мартыньш"
Q16407501,"Тыугу, Энн Харальдович"
Q16636873,"Гирш, Эдуард Алексеевич"
Q15063963,"Алескеров, Фуад Тагиевич"
Q15455591,"Песин, Яков Борисович"
Q206012,Пафнутий Львович Чебышёв
Q28595284,"Гвишиани, Алексей Джерменович"
Q315414,Израиль Моисеевич Гельфанд
Q331089,Абрам Самойлович Безикович
Q16405296,Юрий Юрьевич Нуут
Q710920,Игорь Ростиславович Шафаревич
Q180217,Стефан Банах
Q1354652,Мартин Почобут-Одляницкий
Q275659,Эдисон Васильевич Денисов
Q321952,"Дикштейн, Самуэль"
Q15455722,"Склянин, Евгений Константинович"
Q85404,Юрий Сергеевич Осипов
Q40418,"Френкель, Эдвард"
Q78421,Фёдор Иванович Шуберт
Q92966,"Левин, Леонид Анатольевич"
Q34458,Сергей Михайлович Никольский
Q43323,"Бесов, Олег Владимирович"
Q58720,Михаил Васильевич Ломоносов
Q61224,"Эпинус, Франц Ульрих Теодор"
Q115664,Николай Иванович Фусс
Q71855,"Бильфингер, Георг Бернгард"
Q91570,Георг Вольфганг Крафт
Q104451,"Гришов, Августин Нафанаил"
Q115650,Владимир Иванович Смирнов
Q207534,Альфред Тарский
Q158465,Анатолий Тимофеевич Фоменко
Q167997,Отто Юльевич Шмидт
Q176659,Андрей Андреевич Марков
Q181710,"Золотарёв, Егор Иванович"
Q184535,Софья Васильевна Ковалевская
Q310788,Александр Михайлович Ляпунов
Q311019,Борис Абрамович Березовский
Q324083,"Годунов, Сергей Константинович"
Q355892,Михаил Васильевич Остроградский
Q370151,Виктор Яковлевич Буняковский
Q211642,Ларс Альфорс
Q246773,Ильдар Абдуллович Ибрагимов
Q374205,"Маслов, Виктор Павлович"
Q380243,"Сеченов, Иван Михайлович"
Q381315,Юрий Леонидович Ершов
Q447071,Андрей Иванович Лексель
Q450269,Ольга Александровна Ладыженская
Q450840,"Успенский, Яков Викторович"
Q468614,"Кочина, Пелагея Яковлевна"
Q470539,Сергей Натанович Бернштейн
Q472092,"Болибрух, Андрей Андреевич"
Q487735,"Витушкин, Анатолий Георгиевич"
Q487778,Анатолий Иванович Мальцев
Q508156,"Васильев, Виктор Анатольевич"
Q547136,"Марченко, Владимир Александрович"
Q552691,Алексей Николаевич Крылов
Q553209,"Кострикин, Алексей Иванович"
Q559188,Владимир Андреевич Стеклов
Q644051,"Нестеренко, Юрий Валентинович"
Q689611,"Герман, Якоб"
Q716017,"Гельфонд, Александр Осипович"
Q726827,Евграф Степанович Фёдоров
Q731283,"Голубев, Владимир Васильевич"
Q315425,Андрей Юрьевич Окуньков
Q325705,"Маргулис, Григорий"
Q1232736,"Аносов, Дмитрий Викторович"
Q1289022,"Иванов, Валентин Константинович"
Q1384632,Юрий Владимирович Линник
Q1384966,Иван Георгиевич Петровский
Q1385596,"Игнатовский, Владимир Сергеевич"
Q1667121,"Брашман, Николай Дмитриевич"
Q893667,"Галеркин, Борис Григорьевич"
Q931398,"Граве, Дмитрий Александрович"
Q934314,"Александров, Александр Данилович"
Q950931,"Ефимов, Николай Владимирович"
Q951370,"Погорелов, Алексей Васильевич"
Q959719,Родион Осиевич Кузьмин
Q982580,"Новиков, Пётр Сергеевич"
Q983316,Сергей Алексеевич Чаплыгин
Q983365,"Меньшов, Дмитрий Евгеньевич"
Q334054,"Зельманов, Ефим"
Q1930306,"Лаврентьев, Михаил Михайлович"
Q1932500,"Крылов, Николай Митрофанович"
Q1973460,Леонид Иванович Седов
Q2008444,"Ляпунов, Алексей Андреевич"
Q2031915,"Митропольский, Юрий Алексеевич"
Q2074389,Сергей Иванович Адян
Q2166348,"Тюрин, Андрей Николаевич"
Q2450566,Юрий Васильевич Прохоров
Q2570007,"Бухштабер, Виктор Матвеевич"
Q2587389,"Пугачёв, Владимир Семёнович"
Q2603369,"Гюнтер, Николай Максимович"
Q369561,Владимир Дринфельд
Q372097,Яков Давидович Тамаркин
Q2624201,Андрей Андреевич Марков
Q2644032,Алексей Васильевич Шубников
Q3561844,"Платонов, Владимир Петрович"
Q3710025,"Моисеев, Никита Николаевич"
Q3710046,"Лупанов, Олег Борисович"
Q3710069,"Красовский, Николай Николаевич"
Q4054946,Сергей Михайлович Абрамов
Q4061617,"Алексеев, Анатолий Семёнович"
Q4079811,"Бахвалов, Николай Сергеевич"
Q4082923,"Белоцерковский, Олег Михайлович"
Q4084115,Виталий Иванович Бердышев
Q4094322,"Боровков, Александр Алексеевич"
Q4104702,"Васильев, Станислав Николаевич"
Q4114278,"Воеводин, Валентин Васильевич"
Q4125281,Иосиф Израилевич Ворович
Q4143171,Андрей Александрович Гончар
Q4166843,Анатолий Дородницын
Q4173502,"Евтушенко, Юрий Гаврилович"
Q4175422,"Емельянов, Станислав Васильевич"
Q4177001,Иван Иванович Ерёмин
Q4181785,"Журавлёв, Юрий Иванович"
Q4196325,"Иванов, Сергей Владимирович (математик)"
Q4199539,"Ильин, Арлен Михайлович"
Q4199550,Владимир Александрович Ильин
Q4205653,"Ишлинский, Александр Юльевич"
Q4218102,Борис Кашин
Q4226696,Валерий Васильевич Козлов
Q4230979,"Коновалов, Анатолий Николаевич"
Q4239170,"Краснощёков, Павел Сергеевич"
Q4243244,"Кряжимский, Аркадий Викторович"
Q4246098,"Кулешов, Александр Петрович"
Q4246269,"Куликовский, Андрей Геннадиевич"
