Q227897,Иоганн Бернулли
Q374024,Николай Николаевич Лузин
Q153224,Андрей Николаевич Колмогоров
Q370530,Иосиф Наумович Бернштейн
Q893715,"Фейгин, Борис Львович"
Q28355080,"Хургин, Яков Исаевич"
Q3710069,"Красовский, Николай Николаевич"
Q115650,Владимир Иванович Смирнов
Q1235148,Григорий Фихтенгольц
Q559188,Владимир Андреевич Стеклов
Q7604,Леонард Эйлер
Q710985,"Бураго, Юрий Дмитриевич"
Q934314,"Александров, Александр Данилович"
Q925405,Александр Александрович Кириллов
Q4711067,Albert R. Meyer
Q315414,Израиль Моисеевич Гельфанд
Q2390389,"Кронрод, Александр Семёнович"
Q2074389,Сергей Иванович Адян
Q487778,Анатолий Иванович Мальцев
Q4302568,"Мордухай-Болтовской, Дмитрий Дмитриевич"
Q12170089,Сергей Николаевич Черников
Q15821345,Johann Michael Hallwachs
Q1384966,Иван Георгиевич Петровский
Q1384963,"Курош, Александр Геннадиевич"
Q41585,Давид Гильберт
Q76510,Христиан фон Вольф
Q99793,Иоганн Фридрих Генкель
Q77078,Арнольд Зоммерфельд
Q78041,"Гойн, Карл"
Q111357,Christoph Matthäus Pfaff
Q102123871,Gottfried Hoffmann
Q2309330,"Чупров, Александр Александрович"
Q76641,Феликс Клейн
Q34458,Сергей Михайлович Никольский
Q58750,Эдмунд Ландау
Q710920,Игорь Ростиславович Шафаревич
Q68519,"Кнезер, Адольф"
Q775113,Aurel Voss
Q57554,Георг Кристоф Лихтенберг
Q61813,Авраам Готтгельф Кестнер
Q77361,"Пфафф, Иоганн Фридрих"
Q2031915,"Митропольский, Юрий Алексеевич"
Q176659,Андрей Андреевич Марков
Q4153600,"Давидов, Август Юльевич"
Q372026,Андрей Николаевич Тихонов
Q206012,Пафнутий Львович Чебышёв
Q4752219,"Самойленко, Анатолий Михайлович"
Q504286,Виссарион Яковлевич Шебалин
Q70818,"Бартельс, Мартин Фёдорович"
Q2603495,Карл Фёдорович Фукс
Q7085,Нильс Бор
Q2097758,"Рашевский, Пётр Константинович"
Q4190178,"Зейлигер, Дмитрий Николаевич"
Q598173,"Ломницкий, Антоний"
Q16563889,Jules Mien
Q619900,"Коркин, Александр Николаевич"
Q57103,Карл Вейерштрасс
Q60052,Густав Роберт Кирхгоф
Q68531,Лео Кёнигсбергер
Q1667121,"Брашман, Николай Дмитриевич"
Q313454,Ян Лукасевич
Q707137,Михаил Алексеевич Лаврентьев
Q2603369,"Гюнтер, Николай Максимович"
Q726403,Дмитрий Фёдорович Егоров
Q950897,"Синай, Яков Григорьевич"
Q70905,"Энгель, Фридрих"
Q72104,"Шлезингер, Людвиг"
Q19513535,Николай Георгиевич Макаров
Q19513859,Виктор Петрович Хавин
Q450864,"Постников, Михаил Михайлович"
Q4524490,"Ширшов, Анатолий Илларионович"
Q102076839,Leonid Arkadievich Bokut
Q383045,Владимир Рохлин
Q44481,Пьер-Симон Лаплас
Q1991041,Николай Крылов
Q65196,Юрий Иванович Манин
Q574620,"Цагир, Дон"
Q1174945,"Каждан, Давид"
Q8814,Огюстен Луи Коши
Q325696,Павел Сергеевич Александров
Q951438,"Фомин, Сергей Васильевич"
Q451319,Лев Семёнович Понтрягин
Q57992,Иоганн Петер Мюллер
Q4139599,Иван Тимофеевич Глебов
Q4201267,"Иноземцев, Фёдор Иванович"
Q15064880,"Варвинский, Иосиф Васильевич"
Q2038350,Роальд Зиннурович Сагдеев
Q330511,"Плеснер, Абрам Иезекиилович"
Q4125199,Николай Николаевич Воробьёв
Q4351647,Джейкоб Гадолин
Q323337,Сергей Львович Соболев
Q718045,Илья Иосифович Пятецкий-Шапиро
Q1356831,Евгений Дынкин
Q333975,Сергей Петрович Новиков
Q450840,"Успенский, Яков Викторович"
Q19502428,"Акилов, Глеб Павлович"
Q157642,Владимир Игоревич Арнольд
Q1030228,Людвиг Дмитриевич Фаддеев
Q15455692,Pjotr Petrowitsch Kulisch
