"Абаканович, Бруно",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Абрамов, Александр Александрович (математик)",1,6,0,0,1926,2014,11402,8,22,0,1497,0,0,9,8,3,,,,,,,136,619,9,Абрамов Александр Александрович,88,472,12338,,,,да
"Абрамов, Александр Михайлович",,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Абрамов, Сергей Михайлович (учёный)",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Абрашкин, Виктор Александрович",1,1,0,0,,2016,3670,3,4,0,282,0,2,1,9,4,,,,,,,35,81,4,Абрашкин Виктор Александрович,35,52,2587,,,,да
"Абросимов, Александр Викторович",1,1,0,0,1948,2011,14522,12,36,2,1829,0,2,3,20,0,,,,,,,3,1,1,Абросимов А В,4,13,373,,,,нет
"Авдеев, Николай Яковлевич",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Агаков, Всеволод Георгиевич",1,1,0,0,1979,2010,21977,27,65,0,853,0,2,9,103,3,,,,,,,,,,,,,,,,,
"Агаханов, Назар Хангельдыевич",1,1,0,0,1954,2008,12407,37,91,1,3588,0,6,6,39,3,,,,,,,35,80,3,Агаханов Назар Хангельдыевич,2,1,156,,,,нет
"Агрест, Матест Менделевич",1,1,0,0,1915,2006,7490,30,52,1,2727,0,7,5,36,2,,,,,,,,,,Агрест М М,7,,421,,,,нет
"Агокас, Сергей Викторович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Адамян, Вадим Мовсесович",1,1,0,0,1938,2009,10899,21,67,4,1119,0,2,5,55,1,,,V.M. Adamyan,2570,21,36,,,,Адамян Вадим Мовсесович,12,213,3451,,,,нет
"Адельсон-Вельский, Георгий Максимович",1,1,0,0,1922,2007,6958,47,88,12,2637,0,9,14,24,1,,,,,,,,,,Адельсон-Вельский Г М,5,5,999,,,,да
"Адодуров, Василий Евдокимович",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Адян, Сергей Иванович",1,7,1,0,1931,2010,5929,25,47,6,2097,0,3,15,30,0,,,,,,,86,490,7,Адян Сергей Иванович,68,391,15362,,,,да
"Азбелев, Николай Викторович",1,6,0,0,1922,2011,7646,17,31,2,652,0,2,2,38,4,,,,,,,64,1017,8,Азбелев Николай Викторович,31,73,2188,,,,да
"Акбергенов, Ибадулла",1,1,0,0,1907,2015,3636,2,6,1,324,0,2,0,11,1,,,,,,,,,,Акбергенов И А,1,1,265,,,,нет
"Акилов, Глеб Павлович",1,5,0,0,1921,2016,12322,3,16,0,354,0,2,9,27,3,,,,,,,,,,Акилов Глеб Павлович,,,1361,,,,да
"Аксёнов, Митрофан Семёнович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Александров, Александр Данилович",1,8,1,1,1912,2004,37742,121,298,14,11388,0,3,106,161,9,,,,,,,,,,Александров Александр Данилович,38,208,17277,,,,да
"Александров, Владимир Валентинович",1,2,0,0,1938,2015,5099,3,3,5,3505,0,2,4,14,5,,,,,,,,,,Александров В В,3,2,57,,,,нет
"Александров, Павел Сергеевич",1,8,1,1,1896,2006,24629,90,158,25,19257,0,5,84,134,4,,,,,,,,,,Александров Павел Сергеевич,30,69,35870,,,,да
"Александров, Иван Иванович (математик)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Александрян, Рафаэль Арамович",1,6,0,0,1923,2014,34750,4,28,1,904,0,3,4,131,3,,,,,,,,,,Александрян Рафаэль Арамович,1,11,832,,,,да
"Алексеев, Анатолий Арсениевич",1,1,0,0,1936,2015,3882,14,19,1,574,0,2,2,24,0,,,,,,,,,,,,,,,,,
"Алексеев, Виссарион Григорьевич",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алексеев, Владимир Михайлович",1,6,0,0,1932,2012,7823,12,21,1,1229,0,2,8,30,2,,,,,,,,,,Алексеев Владимир Михайлович,9,158,3540,,,,нет
"Алексеев, Николай Николаевич (математик)",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алескеров, Фуад Тагиевич",1,1,0,0,1951,2013,28411,21,33,2,3275,0,2,2,65,0,,,,,,,141,1226,11,Алескеров Фуад Тагиевич,22,19,2505,,,,нет
"Алёшин, Станислав Владимирович",1,1,0,0,1941,2016,1640,2,10,0,61,0,0,3,9,1,,,,,,,15,272,4,Алешин Станислав Владимирович,5,29,862,,,,
"Амербаев, Вильжан Мавлютинович",1,1,0,1,1931,2012,9694,18,45,1,1245,0,3,4,44,2,,,Амербаев Вильжан Мавлютинович,76,4,1,58,184,4,Амербаев В М,1,,298,,,,нет
"Андерсон, Оскар Николаевич",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андреев, Константин Алексеевич",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андреев, Николай Николаевич (математик)",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андрианов, Дмитрий Леонидович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андронов, Александр Александрович (старший)",1,7,1,1,1901,2008,38969,43,104,14,4095,0,2,38,114,4,,,,,,,,,,Андронов Александр Александрович,4,14,956,,,,нет
"Андросенко, Пётр Александрович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андрунакиевич, Владимир Александрович",1,2,0,1,1917,2008,11596,21,53,3,654,0,5,8,50,0,,,,,,,,,,Андрунакиевич Владимир Александрович,25,33,4120,,,,нет
"Аникин, Валерий Михайлович",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Анисимов, Василий Афанасьевич",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Анкудович, Викентий Александрович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Аносов, Дмитрий Викторович",1,8,1,1,1936,2010,9383,39,101,10,3111,0,2,23,28,11,,,,,,,66,863,8,Аносов Дмитрий Викторович ,77,483,27179,,,,да
"Антипин, Анатолий Сергеевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Аппельрот, Герман Германович",1,1,0,0,1866,2011,10073,9,36,0,630,0,2,5,25,0,,,,,,,,,,Аппельрот Герман Германович,12,5,1032,,,,нет
