Леонард Эйлер,1707,1783
Иммануил Кант,1724,1804
Фёдор Эдуардович Молин,1861,1941
Александр Маркович Островский,1893,1986
Михаил Васильевич Ломоносов,1711,1765
"Эпинус, Франц Ульрих Теодор",1724,1802
Сергей Михайлович Никольский,1905,2012
Фёдор Иванович Шуберт,1758,1825
Константин Эдуардович Циолковский,1857,1935
Моисей Шейнфинкель,1889,1942
"Кит, Борис Владимирович",1910,2018
"Бари, Нина Карловна",1901,1961
"Яглом, Акива Моисеевич",1921,2007
Пётр Демьянович Успенский,1878,1947
"Рапопорт, Анатолий Борисович",1911,2007
Пирс Георгиевич Боль,1865,1921
"Карацуба, Анатолий Алексеевич",1937,2008
"Витушкин, Анатолий Георгиевич",1931,2004
"Прудников, Анатолий Платонович",1927,1999
Андрей Суслин,1950,2018
"Шидловский, Андрей Борисович",1915,2007
"Кублановская, Вера Николаевна",1920,2012
Татьяна Алексеевна Афанасьева,1876,1964
"Кочина, Пелагея Яковлевна",1899,1999
Сергей Натанович Бернштейн,1880,1968
"Букреев, Борис Яковлевич",1859,1962
"Коркин, Александр Николаевич",1837,1908
"Струве, Василий Васильевич",1889,1965
Ольга Александровна Ладыженская,1922,2004
"Ратнер, Марина Евсеевна",1938,2017
"Успенский, Яков Викторович",1883,1947
"Постников, Михаил Михайлович",1927,2004
Лев Семёнович Понтрягин,1908,1988
Иван Матвеевич Виноградов,1891,1983
Павел Самуилович Урысон,1898,1924
Николай Николаевич Боголюбов,1909,1992
"Шор, Наум Зуселевич",1937,2006
Ольга Олейник,1925,2001
"Вишик, Марко Иосифович",1921,2012
"Болибрух, Андрей Андреевич",1950,2003
"Суслин, Михаил Яковлевич",1894,1919
"Иванов, Валентин Константинович",1908,1992
"Эпштейн, Пауль Софус",1883,1966
"Слонимский, Зиновий Яковлевич",1810,1904
"Линдеберг, Ярл Вальдемар",1876,1932
"Новиков, Пётр Сергеевич",1901,1975
Сергей Алексеевич Чаплыгин,1869,1942
"Меньшов, Дмитрий Евгеньевич",1892,1988
"Привалов, Иван Иванович",1891,1941
"Березин, Феликс Александрович",1931,1980
"Ремез, Евгений Яковлевич",1896,1975
"Владимиров, Василий Сергеевич",1923,2012
"Каган, Вениамин Фёдорович",1869,1953
"Граве, Дмитрий Александрович",1863,1939
"Александров, Александр Данилович",1912,1999
"Крейн, Марк Григорьевич",1907,1989
"Вагнер, Виктор Владимирович",1908,1981
"Ефимов, Николай Владимирович",1910,1982
"Погорелов, Алексей Васильевич",1919,2002
"Фомин, Сергей Васильевич",1917,1975
"Маканин, Владимир Семёнович",1937,2017
Владимир Андреевич Успенский,1930,2018
"Кузьмин, Родион Осиевич",1891,1949
Владимир Геннадьевич Спринджук,1936,1987
"Филиппов, Алексей Фёдорович",1923,2006
"Самарский, Александр Андреевич",1919,2008
Борис Абрамович Березовский,1946,2013
"Юшкевич, Адольф Павлович",1906,1993
Андрей Николаевич Тихонов,1906,1993
"Болтянский, Владимир Григорьевич",1925,2019
Роланд Львович Добрушин,1929,1995
Александр Александрович Фридман,1888,1925
Израиль Моисеевич Гельфанд,1913,2009
"Гливенко, Валерий Иванович",1896,1940
Сергей Львович Соболев,1908,1989
Павел Сергеевич Александров,1896,1982
"Плеснер, Абрам Иезекиилович",1900,1961
Абрам Самойлович Безикович,1891,1970
Павел Александрович Флоренский,1882,1937
