J. Barkley Rosser,1907,1989
Alfred Korzybski,1879,1950
William Thurston,1946,2012
Seymour Papert,1928,2016
Stephen Cole Kleene,1909,1994
George Bernard Dantzig,1914,2005
Sam Loyd,1841,1911
C. Olin Ball,1893,1970
Francis Robbins Upton,1852,1921
Leon Bankoff,1908,1997
Alexander Abian,1923,1999
Max Mason,1877,1961
Maxime Bôcher,1867,1918
Charles C. Conley,1933,1984
Earle Wheeler,1908,1975
Emil Leon Post,1897,1954
John Tate,1925,2019
Gorō Shimura,1930,2019
Mitchell Feigenbaum,1944,2019
Daniel Quillen,1940,2011
Vladimir Voevodsky,1966,2017
Hugh Everett III,1930,1982
Paul Halmos,1916,2006
George William Hill,1838,1914
Maxwell Rosenlicht,1924,1999
Gerhard Hochschild,1915,2010
Solomon Lefschetz,1884,1972
Serge Lang,1927,2005
Jacob Tamarkin,1888,1945
Nelson Dunford,1906,1986
James Serrin,1926,2012
Leonard Jimmie Savage,1917,1971
Donald C. Spencer,1912,2001
Oscar Zariski,1899,1986
Edwin Spanier,1921,1996
Leonard Carlitz,1907,1999
Edward Nelson,1932,2014
Irving Segal,1918,1998
Francis Joseph Murray,1911,1996
Elmārs Zemgalis,1923,2014
Robert Sorgenfrey,1915,1995
Rudolf E. Kálmán,1930,2016
Henry Burchard Fine,1858,1928
Akiva Yaglom,1921,2007
Tom M. Apostol,1923,2016
Peter L. Hammer,1936,2006
Alston Scott Householder,1904,1993
P. D. Ouspensky,1878,1947
Allen Newell,1927,1992
John Mather,1942,2017
Edward Kasner,1878,1955
Raymond Smullyan,1919,2017
Raoul Bott,1923,2005
Richard E. Bellman,1920,1984
Saunders Mac Lane,1909,2005
Christine Ladd-Franklin,1847,1930
Gilbert Ames Bliss,1876,1951
Chaim L. Pekeris,1908,1993
Benjamin Banneker,1731,1806
Edward Burr Van Vleck,1863,1943
Ronald Rivlin,1915,2005
David Slepian,1923,2007
Igor Ansoff,1918,2002
Anneli Cahn Lax,1922,1999
Rufus Isaacs,1914,1981
Alberto Calderón,1920,1998
J. Laurie Snell,1925,2011
Antoni Zygmund,1900,1992
Arthur E. Kennelly,1861,1939
Alexander Esenin-Volpin,1924,2016
Claude Chevalley,1909,1984
Harry Kesten,1931,2019
Edna Kramer,1902,1984
Samuel Karlin,1924,2007
Martin Gardner,1914,2010
Max Black,1909,1988
Carl Georg Barth,1860,1939
Walter Pitts,1923,1969
Edgar Buckingham,1867,1940
Arthur Milgram,1912,1961
Cassius Jackson Keyser,1862,1947
Edwin Thompson Jaynes,1922,1998
William Arveson,1934,2011
