Франке, Ян: 0.0
Karczewski, Wincenty: 0.0
Кислицын, Сергей Сергеевич: 0.0
Zolotov, Borisz Jevgenyjevics: 0.0
Тиморин, Владлен: 0.0
Калинин, Никита: 0.0
Tyupkin, Yu. S.: 0.0
Кострикин, Игорь Алексеевич: 0.0
Заболоцкий, Микола Васильевич: 0.0
Тарасюк, Роман Иванович: 0.0
Шеремета, Мирослав Николаевич: 0.0
Reznikov, Alexander: 0.01
Куликов, Виктор Степанович: 0.01
Альбрехт, Владимир Янович: 0.01
Богданов, Дмитрий Степанович: 0.01
Краснопёров, Егор Иванович: 0.01
Остапенко, Сергей (актёр): 0.01
Редер, Александр Христофорович: 0.01
Kalandiya, Apollon Iosifovich: 0.01
Biermann, Otto: 0.01
Зморович, Валентин Анатольевич: 0.01
Максимович, Владимир Павлович: 0.01
Созанов, Валерий Гаврилович: 0.01
Bleher, Pavel: 0.01
Kulisch, Pjotr Petrowitsch: 0.01
Matwejew, Wladimir Borissowitsch: 0.01
Demjanenko, Wadim Andrejewitsch: 0.01
Борисов, Евгений Васильевич: 0.01
Шестопал, Анатолий Фёдорович: 0.01
Ангарская, Надежда Викторовна: 0.01
Botanarsky, Andrey: 0.01
Косинский, Викентий Викентьевич: 0.01
Q18707824: 0.01
Rosanov, Yuri Anatolievich: 0.01
Гордон, Владимир Осипович: 0.01
Фетисов, Антонин Иванович: 0.01
Лешкевич, Николай Анатольевич: 0.01
Berlyand, Leonid: 0.01
Браверман, Максим Эммануилович: 0.01
Волкова, Валентина Александровна: 0.01
Попруженко, Михаил Григорьевич: 0.01
Bortniker, Liouba: 0.01
Хасанова, Тамилла: 0.01
Evdokimov, Sergei: 0.01
Q71869813: 0.01
Магарил-Ильяев, Георгий Георгиевич: 0.01
Q93593591: 0.01
Gomtsyan, Arsen: 0.01
Goussarov, Mikhail: 0.019
Вильямс, Николай Николаевич: 0.019
Gukov, Sergei: 0.019
Kramsztyk, Stanisław: 0.019
Budrewicz, Wincenty: 0.019
Архимович, Зиновий Алоизиевич: 0.019
Рычков, Вячеслав Сергеевич: 0.019
Kasparow, Gennadi Georgijewitsch: 0.019
Харазов, Георгий Артёмович: 0.019
Кузьмина, Галина Васильевна: 0.019
Сырмус, Тамара: 0.019
Крысько, Вадим Анатольевич: 0.019
Николаевич, Бронштейн Илья: 0.019
Ященко, Иван Валериевич: 0.019
Дернов, Николай Андреевич: 0.019
Михайлов, Леонид Григорьевич: 0.019
Мифтахов, Азат Фанисович: 0.019
Q85988048: 0.019
Ондар, Хеймер-оол Опанович: 0.019
Arzhantseva, Goulnara: 0.028
Штейнберг, Михаил: 0.028
Кремер, Арон Иосифович: 0.028
Каменомостская, Сусанна Львовна: 0.028
Запольский, Иван Ипатович: 0.028
Павловский, Андрей Фёдорович: 0.028
Wenkow, Alexei Borissowitsch: 0.028
Ruubel, Alma Johanna: 0.028
Smbatyan, Ashot: 0.028
Слисенко, Анатолий Олесьевич: 0.028
Alderson, Helen Popova: 0.028
Folkierski, Władysław: 0.038
Госиевский, Владислав: 0.038
Кржижановский, Адриан: 0.038
Мутанов, Галимкаир Мутанович: 0.038
Naumov, Pavel: 0.038
Шеврин, Лев Наумович: 0.038
Арраго, Роман Семёнович: 0.038
Гангнус, Рудольф Вильгельмович: 0.038
Цейтин, Григорий Самуилович: 0.038
Мухачёва, Элита Александровна: 0.038
Гарбиньский, Кажетан: 0.048
Аничков, Дмитрий Сергеевич: 0.048
Новопашенный, Пётр Алексеевич: 0.048
Жулиньский, Роман: 0.057
Хесин, Борис Аронович: 0.057
Нуут, Юрий Юрьевич: 0.057
Вистелиус, Андрей Борисович: 0.057
Левин, Владимир Леонидович: 0.066
Гулак, Николай Иванович: 0.066
Синцов, Дмитрий Матвеевич: 0.066
Пикар, Софи: 0.066
Маркович, Сима: 0.076
Ботезат, Георгий Александрович: 0.076
Линцбах, Яков Иванович: 0.076
Штерн, Авраам: 0.085
Андрианов, Анатолий Николаевич: 0.095
Инкулец, Ион Константинович: 0.124
Нётер, Фриц: 0.152
Ольшевский, Кароль: 0.162
Повзнер, Александр Яковлевич: 0.17
Тарасов, Василий: 0.17
Шабат, Георгий Борисович: 0.17
Leites, Dimitry Alexander: 0.17
Panchishkin, Alexei: 0.17
Yagunov, Serge A.: 0.17
Vaintrob, Arkady: 0.17
Mihailovs, Aleksandrs: 0.17
Vakhutinski, I. Ya.: 0.17
Ovchinnikov, S. V.: 0.17
Busyatskaya, I. K.: 0.17
Zaitsev, A. A.: 0.17
Ol'shanskii, G. I.: 0.17
Rozenberg, A. L.: 0.17
Fomin, A. I.: 0.17
Shapovalov, N. N.: 0.17
Suncheleev, R. R.: 0.17
Shchepochkina, I. M.: 0.17
Kostrikin, Igor Alexeevich: 0.17
Belkin, S. E.: 0.17
Sergeev, Aleksandr Nikolaevich: 0.17
Korkina, Elena I.: 0.17
Agranovich, I. M.: 0.17
Barabasheva, Yu: 0.17
Khoroshkin, Sergei Mikhailovich: 0.17
Shiheeva, V.: 0.17
Grozman, P.: 0.17
Eliseev, S.: 0.17
Bekbaev, U.: 0.17
Gnedin, Alexander V.: 0.17
Neretin, Yurii A.: 0.17
Shander, V.: 0.17
Mikhailov, A. A.: 0.17
Karabegov, A. V.: 0.17
Shtepin, V. V.: 0.17
Golenishcheva-Kutuzova, &nbsp;: 0.17
Tsalenko, L. M.: 0.17
Ovsienko, O. D.: 0.17
Malikov, F. G.: 0.17
Mikerin, A. G.: 0.17
Nazarov, Maxim: 0.17
Olshanski, Grigori: 0.17
Odesskii, A. I.: 0.17
Yuriev, D. V.: 0.17
Fedyk, Yu A.: 0.17
Kononenko, A. V.: 0.17
Prosvetov, G.: 0.17
Dergachev, Vladimir: 0.17
Scorichenko, Alexander: 0.17
Stotsky, Edward Danilovich: 0.17
Nogina, Elena Yur'evna: 0.17
Lyubetsky, Vassily Alexandrovich: 0.17
Plisko, Valery Egorovich: 0.17
Vyugin, Vladimir Vyacheslavovich: 0.17
Shabunin, Leonid Vasil'evich: 0.17
Lomkovskaya, Mariya Vladimirovna: 0.17
Gargov, George Kolev: 0.17
Kanovey, Vladimir Grigor'evich: 0.17
Soprunov, Sergey Fedorovich: 0.17
Sotirov, Vladimir Khristov: 0.17
Skvortsov, Dmitry Pavlovich: 0.17
Vardanyan, Valerius Aramovich: 0.17
Drugush, Yakim Mikhaylovich: 0.17
Budinas, Borisas Leonardovich: 0.17
Krupski, Vladimir Nikolaevich: 0.17
Shum, Alexandr Anatol'evich: 0.17
Kuzichev, Andrey Alexandrovich: 0.17
Vereshchagin, Nikolay Konstantinovich: 0.17
Pankrat'ev, Nikolay Anatol'evich: 0.17
Rojkovskaia, Natalia A.: 0.17
Матвеев, Владимир С.: 0.17
Болсинов, Алексей В.: 0.17
Pushin, Oleg: 0.17
Voronov, Alexander A.: 0.17
Belskii, Arkadii Aleksandrovich: 0.17
Demidov, Evgenij Evgen'evich: 0.17
