mathematician,mathematicianLabel,award_received
http://www.wikidata.org/entity/Q153224,Андрей Николаевич Колмогоров,13
http://www.wikidata.org/entity/Q7604,Леонард Эйлер,11
http://www.wikidata.org/entity/Q52015163,Родион Александрович Степанов,9
http://www.wikidata.org/entity/Q457680,Ольга Олейник,8
http://www.wikidata.org/entity/Q333975,Сергей Петрович Новиков,8
http://www.wikidata.org/entity/Q206012,Пафнутий Львович Чебышёв,8
http://www.wikidata.org/entity/Q205981,Александр Александрович Фридман,8
http://www.wikidata.org/entity/Q934314,"Александров, Александр Данилович",8
http://www.wikidata.org/entity/Q20116347,Сергей Владимирович Русаков,8
http://www.wikidata.org/entity/Q4143497,"Горбань, Александр Николаевич",8
http://www.wikidata.org/entity/Q4340519,"Охоцимский, Дмитрий Евгеньевич",8
http://www.wikidata.org/entity/Q4302568,"Мордухай-Болтовской, Дмитрий Дмитриевич",8
http://www.wikidata.org/entity/Q451652,"Вершик, Анатолий Моисеевич",7
http://www.wikidata.org/entity/Q315414,Израиль Моисеевич Гельфанд,7
http://www.wikidata.org/entity/Q158465,Анатолий Тимофеевич Фоменко,7
http://www.wikidata.org/entity/Q1386138,"Кравчук, Михаил Филиппович",7
http://www.wikidata.org/entity/Q58720,Михаил Васильевич Ломоносов,7
http://www.wikidata.org/entity/Q2079434,"Цингер, Василий Яковлевич",7
http://www.wikidata.org/entity/Q4082923,"Белоцерковский, Олег Михайлович",7
http://www.wikidata.org/entity/Q4272865,"Ляшко, Иван Иванович",7
http://www.wikidata.org/entity/Q4157027,"Деларю, Даниил Михайлович",7
http://www.wikidata.org/entity/Q4226295,Павел Александрович Кожевников,7
http://www.wikidata.org/entity/Q107441,Леонид Канторович,6
http://www.wikidata.org/entity/Q325696,Павел Сергеевич Александров,6
http://www.wikidata.org/entity/Q323337,Сергей Львович Соболев,6
http://www.wikidata.org/entity/Q950211,"Крейн, Марк Григорьевич",6
http://www.wikidata.org/entity/Q893737,"Делоне, Борис Николаевич",6
http://www.wikidata.org/entity/Q893715,"Фейгин, Борис Львович",6
http://www.wikidata.org/entity/Q547136,"Марченко, Владимир Александрович",6
http://www.wikidata.org/entity/Q508156,"Васильев, Виктор Анатольевич",6
http://www.wikidata.org/entity/Q1384966,Иван Георгиевич Петровский,6
http://www.wikidata.org/entity/Q1289022,"Иванов, Валентин Константинович",6
http://www.wikidata.org/entity/Q65196,Юрий Иванович Манин,6
http://www.wikidata.org/entity/Q2570007,"Бухштабер, Виктор Матвеевич",6
http://www.wikidata.org/entity/Q2097758,"Рашевский, Пётр Константинович",6
http://www.wikidata.org/entity/Q23371371,Александр Юрьевич Ольшанский,6
http://www.wikidata.org/entity/Q27863607,"Протасов, Владимир Юрьевич",6
http://www.wikidata.org/entity/Q18559579,"Мищенко, Александр Сергеевич",6
http://www.wikidata.org/entity/Q4176466,"Ермаков, Сергей Михайлович",6
http://www.wikidata.org/entity/Q4261345,"Лидский, Виктор Борисович",6
http://www.wikidata.org/entity/Q4524490,"Ширшов, Анатолий Илларионович",6
http://www.wikidata.org/entity/Q4500221,Сергей Сергеевич Хоружий,6
http://www.wikidata.org/entity/Q4498609,Аскольд Георгиевич Хованский,6
http://www.wikidata.org/entity/Q4391414,"Рвачёв, Владимир Логвинович",6
http://www.wikidata.org/entity/Q4330848,"Овсянников, Лев Васильевич",6
http://www.wikidata.org/entity/Q50380534,Сергей Константинович Ландо,5
http://www.wikidata.org/entity/Q15061236,"Шамолин, Максим Владимирович",5
http://www.wikidata.org/entity/Q129199,Николай Иванович Лобачевский,5
http://www.wikidata.org/entity/Q117346,Григорий Яковлевич Перельман,5
http://www.wikidata.org/entity/Q115664,Николай Иванович Фусс,5
http://www.wikidata.org/entity/Q70818,"Бартельс, Мартин Фёдорович",5
http://www.wikidata.org/entity/Q470539,Сергей Натанович Бернштейн,5
http://www.wikidata.org/entity/Q451319,Лев Семёнович Понтрягин,5
http://www.wikidata.org/entity/Q450864,"Постников, Михаил Михайлович",5
http://www.wikidata.org/entity/Q376679,"Болтянский, Владимир Григорьевич",5
http://www.wikidata.org/entity/Q356003,"Носовский, Глеб Владимирович",5
http://www.wikidata.org/entity/Q331089,Абрам Самойлович Безикович,5
http://www.wikidata.org/entity/Q324083,"Годунов, Сергей Константинович",5
http://www.wikidata.org/entity/Q315425,Андрей Юрьевич Окуньков,5
http://www.wikidata.org/entity/Q302434,"Самарский, Александр Андреевич",5
http://www.wikidata.org/entity/Q184535,Софья Васильевна Ковалевская,5
http://www.wikidata.org/entity/Q167997,Отто Юльевич Шмидт,5
http://www.wikidata.org/entity/Q931398,"Граве, Дмитрий Александрович",5
http://www.wikidata.org/entity/Q929950,"Каган, Вениамин Фёдорович",5
http://www.wikidata.org/entity/Q915301,"Березин, Феликс Александрович",5
http://www.wikidata.org/entity/Q710920,Игорь Ростиславович Шафаревич,5
http://www.wikidata.org/entity/Q707119,Юрий Владимирович Матиясевич,5
http://www.wikidata.org/entity/Q559188,Владимир Андреевич Стеклов,5
http://www.wikidata.org/entity/Q487778,Анатолий Иванович Мальцев,5
http://www.wikidata.org/entity/Q2008444,"Ляпунов, Алексей Андреевич",5
http://www.wikidata.org/entity/Q1981992,"Фабрикант, Валерий Иосифович",5
http://www.wikidata.org/entity/Q1418239,Владимир Михайлович Тихомиров,5
http://www.wikidata.org/entity/Q1386199,"Люстерник, Лазарь Аронович",5
http://www.wikidata.org/entity/Q1231113,"Свирежев, Юрий Михайлович",5
http://www.wikidata.org/entity/Q3710067,"Стечкин, Сергей Борисович",5
http://www.wikidata.org/entity/Q34458,Сергей Михайлович Никольский,5
http://www.wikidata.org/entity/Q65966713,Алексей Августинович Тужилин,5
http://www.wikidata.org/entity/Q3653092,"Бицадзе, Андрей Васильевич",5
